month,c3s_equivalent_gmsl_mm,sio_thermosteric_mm,sio_halosteric_mm,sio_totalsteric_mm,dmi_hadisst,csr_ocean_mass_reference_mm,noaa_topex_poseidon_mm,noaa_jason_1_mm,noaa_jason_2_mm,noaa_jason_3_mm,noaa_sentinel_6mf_mm,original_csr_ocean_mass_reference_mm,filled_csr_ocean_mass_reference_mm,fill_status,ssa_category,ssa_M,ssa_K
2020-07,83.40989936280445,2.895340556278825,-0.6999691249802709,3.948705270886421,0.3190000057220459,26.848080732555776,nan,nan,nan,67.83,nan,26.848080732555776,26.848080732555776,observed,observed,,
2020-08,86.86901590350729,-2.606132300570607,-0.29539724346250296,-1.1521985288709402,-0.18299999833106995,29.332117810644608,nan,nan,nan,66.73666666666666,nan,29.332117810644608,29.332117810644608,observed,observed,,
2020-09,92.02062615443286,-0.0014784482118557207,-0.411127315601334,1.3377349823713303,-0.1889999955892563,23.296750257452725,nan,nan,nan,67.35333333333334,nan,23.296750257452725,23.296750257452725,observed,observed,,
2020-10,94.94212847390467,3.350665094330907,-1.3331182999536395,3.7710960023105145,0.07400000095367432,23.390863945484476,nan,nan,nan,69.24333333333334,nan,23.390863945484476,23.390863945484476,observed,observed,,
2020-11,96.32531178488173,2.613056916743517,-1.6415580175817013,2.7272324077785015,0.019999999552965164,19.829166730234288,nan,nan,nan,68.38666666666667,nan,19.829166730234288,19.829166730234288,observed,observed,,
2020-12,92.69165450055195,3.9441995322704315,-0.9574287105351686,4.744518548250198,0.03099999949336052,15.865989838132684,nan,nan,nan,68.21,68.23,15.865989838132684,15.865989838132684,observed,observed,,
2021-01,90.21155085991435,5.558502394706011,-1.8862480064854026,5.42806088924408,0.050999999046325684,11.088382435033484,nan,nan,nan,70.27,68.91666666666667,11.088382435033484,11.088382435033484,observed,observed,,
2021-02,85.99516839159556,11.003154329955578,-3.915672190487385,8.842644281685352,0.24300000071525574,9.309439683130558,nan,nan,nan,69.065,68.745,9.309439683130558,9.309439683130558,observed,observed,,
2021-03,84.99444987791173,10.651925578713417,-1.869054394774139,10.53293514996767,0.2669999897480011,10.500730682670332,nan,nan,nan,70.09,68.02333333333333,10.500730682670332,10.500730682670332,observed,observed,,
2021-04,85.44931792500877,8.965946733951569,-1.3022400671616197,9.415519423782825,0.25,8.409148952099189,nan,nan,nan,72.25,71.38666666666667,8.409148952099189,8.409148952099189,observed,observed,,
2021-05,84.43165063441663,11.59260980784893,-2.0178360864520073,11.330612935125828,0.008999999612569809,11.542927804868828,nan,nan,nan,71.37666666666667,72.26333333333334,11.542927804868828,11.542927804868828,observed,observed,,
2021-06,85.0651681529873,9.818860329687595,-2.4252990260720253,9.149192832410336,-0.0020000000949949026,20.475461345705902,nan,nan,nan,71.06333333333333,72.14666666666666,20.475461345705902,20.475461345705902,observed,observed,,
2021-07,87.89594866222293,6.713103037327528,-2.4024092126637697,6.0622673481702805,-0.2290000021457672,26.252466876918202,nan,nan,nan,72.82666666666667,73.17,26.252466876918202,26.252466876918202,observed,observed,,
2021-08,92.01445996760128,-0.4120172234252095,-0.46098121674731374,0.8739439072087407,-0.0989999994635582,29.89444822015621,nan,nan,nan,72.94,74.35333333333334,29.89444822015621,29.89444822015621,observed,observed,,
2021-09,96.35264315107891,4.135556053370237,-1.622612588107586,4.258301109075546,-0.057999998331069946,30.252090573097725,nan,nan,nan,72.41000000000001,72.47000000000001,30.252090573097725,30.252090573097725,observed,observed,,
2021-10,100.74652667013247,5.675001535564661,-3.3211212139576674,4.103734157979488,-0.09099999815225601,26.99409650086809,nan,nan,nan,74.20666666666666,74.97666666666667,26.99409650086809,26.99409650086809,observed,observed,,
2021-11,99.84689890721731,4.8732031136751175,-2.5020544417202473,4.126005806028843,0.0689999982714653,24.862110168536926,nan,nan,nan,72.90333333333334,71.37666666666667,24.862110168536926,24.862110168536926,observed,observed,,
2021-12,95.58485464065369,7.366709411144257,-3.0022708233445883,6.123393774032593,-0.11999999731779099,20.392597832143004,nan,nan,nan,72.59333333333333,72.39666666666666,20.392597832143004,20.392597832143004,observed,observed,,
2022-01,92.61688108765637,9.621717035770416,-2.6095497887581587,8.769001811742783,-0.0560000017285347,11.425797747242596,nan,nan,nan,74.23,72.44,11.425797747242596,11.425797747242596,observed,observed,,
2022-02,90.07253741511234,10.001893155276775,-2.0192472729831934,9.733687154948711,-0.0820000022649765,9.357188003011123,nan,nan,nan,73.32666666666667,74.13333333333334,9.357188003011123,9.357188003011123,observed,observed,,
2022-03,89.1851352233919,11.131697334349155,-1.6784538747742772,11.207054369151592,-0.09300000220537186,11.471472241010368,nan,nan,nan,72.45333333333333,73.13,11.471472241010368,11.471472241010368,observed,observed,,
2022-04,87.40859878290303,12.371125631034374,-1.087520271539688,13.03500309586525,-0.06800000369548798,11.365875067564579,nan,nan,nan,70.64333333333333,74.32,11.365875067564579,11.365875067564579,observed,observed,,
2022-05,86.59452479484321,15.650354325771332,-2.983555430546403,14.420567080378532,-0.12200000137090683,12.590210042770844,nan,nan,nan,72.85000000000001,72.9175,12.590210042770844,12.590210042770844,observed,observed,,
2022-06,88.6807160028841,11.885450221598148,-3.8532454054802656,9.787926450371742,-0.33500000834465027,18.136179650380726,nan,nan,nan,72.73,73.39666666666666,18.136179650380726,18.136179650380726,observed,observed,,
2022-07,90.63070594319986,4.91751404479146,-2.768066944554448,3.9003731217235327,-0.19499999284744263,29.22955174657377,nan,nan,nan,75.47,76.72666666666667,29.22955174657377,29.22955174657377,observed,observed,,
2022-08,94.59909151573686,5.973554216325283,-2.4172794073820114,5.305958911776543,-0.2460000067949295,30.378716229045338,nan,nan,nan,72.55666666666667,71.54333333333334,30.378716229045338,30.378716229045338,observed,observed,,
2022-09,98.87024847830699,7.585068698972464,-2.5764370802789927,6.76069175824523,-0.32199999690055847,30.200366543859488,nan,nan,nan,75.76,76.52333333333333,30.200366543859488,30.200366543859488,observed,observed,,
2022-10,105.33426679285806,6.929520051926374,-2.5920236948877573,6.094350479543209,-0.6909999847412109,26.009481592679702,nan,nan,nan,74.75,75.06666666666666,26.009481592679702,26.009481592679702,observed,observed,,
2022-11,103.25324893641638,7.473841775208712,-3.059976501390338,6.172531750053167,-0.26899999380111694,23.034292110758603,nan,nan,nan,72.96333333333332,75.60000000000001,23.034292110758603,23.034292110758603,observed,observed,,
2022-12,101.62959659561582,5.710308905690908,-2.108743181452155,5.358861759305,-0.09099999815225601,13.693499130602426,nan,nan,nan,75.97000000000001,75.16666666666667,13.693499130602426,13.693499130602426,observed,observed,,
2023-01,99.52046662967265,6.403474137187004,-0.5360459326766431,7.624344434589148,0.10999999940395355,11.349490201825967,nan,nan,nan,78.58,78.93,11.349490201825967,11.349490201825967,observed,observed,,
2023-02,95.25895097795767,10.450621135532856,-1.2003107694908977,11.007873341441154,0.15700000524520874,8.938426489711263,nan,nan,nan,76.34,75.49333333333334,8.938426489711263,8.938426489711263,observed,observed,,
